name,X,Y,Z,Soil_ID,,,,,
70G,675378.2401,1328009.755,721.616,3,,,,,
70G,675378.2401,1328009.755,697.232,2,,,,,
70G,675378.2401,1328009.755,697.132,3,,,,,
70G,675378.2401,1328009.755,450,3,,,,,
71G,675384.7813,1330982.265,724,1,,,,,
71G,675384.7813,1330982.265,705.712,3,,,,,
71G,675384.7813,1330982.265,669.136,2,,,,,
71G,675384.7813,1330982.265,669.036,3,,,,,
71G,675384.7813,1330982.265,568.552,2,,,,,
71G,675384.7813,1330982.265,568.452,3,,,,,
71G,675384.7813,1330982.265,450,3,,,,,
72G,675403.1188,1300182.854,837,1,,,,,
72G,675403.1188,1300182.854,824.808,3,,,,,
72G,675403.1188,1300182.854,739.464,2,,,,,
72G,675403.1188,1300182.854,739.364,3,,,,,
72G,675403.1188,1300182.854,450,3,,,,,
73G,675460.3868,1314612.237,817,1,,,,,
73G,675460.3868,1314612.237,786.52,3,,,,,
73G,675460.3868,1314612.237,780.424,2,,,,,
73G,675460.3868,1314612.237,780.324,3,,,,,
73G,675460.3868,1314612.237,762.136,2,,,,,
73G,675460.3868,1314612.237,762.036,3,,,,,
73G,675460.3868,1314612.237,450,3,,,,,
74G,675606.1627,1322915.422,850,1,,,,,
74G,675606.1627,1322915.422,828.664,3,,,,,
74G,675606.1627,1322915.422,813.424,2,,,,,
74G,675606.1627,1322915.422,813.324,3,,,,,
74G,675606.1627,1322915.422,450,3,,,,,
75G,675639.2048,1313673.938,812,1,,,,,
75G,675639.2048,1313673.938,787.616,3,,,,,
75G,675639.2048,1313673.938,781.52,2,,,,,
75G,675639.2048,1313673.938,781.42,3,,,,,
75G,675639.2048,1313673.938,450,3,,,,,
76G,675674.9796,1298394.813,870,1,,,,,
76G,675674.9796,1298394.813,839.52,3,,,,,
76G,675674.9796,1298394.813,833.424,2,,,,,
76G,675674.9796,1298394.813,833.324,3,,,,,
76G,675674.9796,1298394.813,796.848,2,,,,,
76G,675674.9796,1298394.813,796.748,3,,,,,
76G,675674.9796,1298394.813,450,3,,,,,
77G,675709.2019,1303967.61,859,1,,,,,
77G,675709.2019,1303967.61,834.616,3,,,,,
77G,675709.2019,1303967.61,828.52,2,,,,,
77G,675709.2019,1303967.61,828.42,3,,,,,
77G,675709.2019,1303967.61,450,3,,,,,
78G,675732.2681,1302042.029,834,1,,,,,
78G,675732.2681,1302042.029,809.616,3,,,,,
78G,675732.2681,1302042.029,803.52,2,,,,,
78G,675732.2681,1302042.029,803.42,3,,,,,
78G,675732.2681,1302042.029,705.984,2,,,,,
78G,675732.2681,1302042.029,705.884,3,,,,,
78G,675732.2681,1302042.029,450,3,,,,,
79G,675811.0256,1297689.734,878,1,,,,,
79G,675811.0256,1297689.734,853.616,3,,,,,
79G,675811.0256,1297689.734,847.52,2,,,,,
79G,675811.0256,1297689.734,847.42,3,,,,,
79G,675811.0256,1297689.734,749.984,2,,,,,
79G,675811.0256,1297689.734,749.884,3,,,,,
79G,675811.0256,1297689.734,450,3,,,,,
80G,675825.0176,1329525.667,716,1,,,,,
80G,675825.0176,1329525.667,691.616,3,,,,,
80G,675825.0176,1329525.667,618.464,2,,,,,
